 Trinidad and Tobago,TRI,"North America, Central America and the Caribbean"
 Turks and Caicos Islands,TCA,"North America, Central America and the Caribbean"
 United States of America,USA,"North America, Central America and the Caribbean"
 United States Virgin Islands,VIR,"North America, Central America and the Caribbean"
Country,Code,
 American Samoa,ASA,Oceania
 Cook Islands,COK,Oceania
 Fiji,FIJ,Oceania
 New Caledonia,NCL,Oceania
 New Zealand,NZL,Oceania
 Papua New Guinea,PNG,Oceania
 Samoa,SAM,Oceania
 Solomon Islands,SOL,Oceania
 Tahiti (French Polynesia),TAH,Oceania
 Tonga,TGA,Oceania
 Vanuatu,VAN,Oceania
Country,Code,
 Argentina,ARG,South America
 Bolivia,BOL,South America
 Brazil,BRA,South America
 Chile,CHI,South America
 Colombia,COL,South America
 Ecuador,ECU,South America
 Paraguay,PAR,South America
 Peru,PER,South America
 Uruguay,URU,South America
 Venezuela,VEN,South America
